WL,O2Hb,HHb,H2O,Lipids
831,0.225326,0.159593,0.002935,0.000803
832,0.226339,0.159579,0.002962,0.000801
833,0.227352,0.159561,0.003006,0.000794
834,0.228365,0.159543,0.003050,0.000785
835,0.229471,0.159529,0.003109,0.000775
836,0.230576,0.159515,0.003168,0.000764
837,0.231774,0.159497,0.003239,0.000757
838,0.232971,0.159478,0.003310,0.000751
839,0.234169,0.159464,0.003391,0.000739
840,0.235367,0.159451,0.003471,0.000726
841,0.236564,0.159432,0.003558,0.000715
842,0.237762,0.159414,0.003645,0.000703
843,0.238959,0.159386,0.003735,0.000692
844,0.240157,0.159358,0.003825,0.000685
845,0.240986,0.159335,0.003913,0.000678
846,0.241815,0.159312,0.004000,0.000669
847,0.242276,0.159285,0.004081,0.000661
848,0.242736,0.159257,0.004162,0.000651
849,0.243197,0.159234,0.004231,0.000643
850,0.243657,0.159211,0.004300,0.000637
851,0.244118,0.159183,0.004355,0.000633
852,0.244579,0.159156,0.004409,0.000632
853,0.245039,0.159133,0.004451,0.000631
854,0.245500,0.159110,0.004492,0.000633
855,0.246283,0.159082,0.004526,0.000639
856,0.247066,0.159054,0.004560,0.000647
857,0.248171,0.159262,0.004589,0.000656
858,0.249277,0.159469,0.004618,0.000662
859,0.250382,0.159685,0.004647,0.000666
860,0.251488,0.159902,0.004676,0.000674
861,0.252593,0.160118,0.004709,0.000680
862,0.253698,0.160335,0.004741,0.000690
863,0.254804,0.160547,0.004780,0.000705
864,0.255909,0.160759,0.004819,0.000724
865,0.256738,0.160975,0.004868,0.000751
866,0.257568,0.161192,0.004917,0.000786
867,0.258120,0.161408,0.004980,0.000822
868,0.258673,0.161625,0.005042,0.000860
869,0.259226,0.162090,0.005121,0.000899
870,0.259778,0.162555,0.005200,0.000938
871,0.260331,0.163029,0.005293,0.000979
872,0.260884,0.163504,0.005386,0.001022
873,0.261437,0.163978,0.005467,0.001074
874,0.261989,0.164453,0.005548,0.001133
875,0.262588,0.164927,0.005587,0.001198
876,0.263187,0.165401,0.005625,0.001264
877,0.263832,0.165876,0.005623,0.001345
878,0.264477,0.166350,0.005621,0.001430
879,0.265121,0.166825,0.005610,0.001527
880,0.265766,0.167299,0.005598,0.001636
881,0.266411,0.167691,0.005605,0.001752
882,0.267056,0.168082,0.005612,0.001867
883,0.267701,0.168469,0.005641,0.001992
884,0.268346,0.168856,0.005669,0.002121
885,0.268898,0.169247,0.005717,0.002262
886,0.269451,0.169639,0.005764,0.002414
887,0.269912,0.170026,0.005828,0.002581
888,0.270372,0.170413,0.005891,0.002754
889,0.270833,0.170832,0.005967,0.002932
890,0.271293,0.171251,0.006043,0.003116
891,0.271754,0.171670,0.006129,0.003305
892,0.272215,0.172089,0.006214,0.003491
893,0.272675,0.172509,0.006303,0.003674
894,0.273136,0.172928,0.006391,0.003833
895,0.273596,0.173347,0.006474,0.003983
896,0.274057,0.173766,0.006557,0.004121
897,0.274518,0.174185,0.006628,0.004256
898,0.274978,0.174604,0.006699,0.004384
899,0.275439,0.175028,0.006750,0.004506
900,0.275899,0.175452,0.006800,0.004633
901,0.276360,0.175820,0.006828,0.004766
902,0.276821,0.176189,0.006855,0.004915
903,0.277281,0.176465,0.006875,0.005078
904,0.277742,0.176741,0.006894,0.005267
905,0.278110,0.177013,0.006924,0.005472
906,0.278479,0.177285,0.006953,0.005721
907,0.278755,0.177557,0.007013,0.005994
908,0.279031,0.177828,0.007073,0.006316
909,0.279308,0.178105,0.007182,0.006663
910,0.279584,0.178381,0.007291,0.007046
911,0.279861,0.178653,0.007468,0.007438
912,0.280137,0.178925,0.007644,0.007837
913,0.280413,0.179095,0.007901,0.008234
914,0.280690,0.179266,0.008158,0.008621
915,0.280920,0.179224,0.008509,0.008994
916,0.281150,0.179183,0.008860,0.009354
917,0.281334,0.179146,0.009317,0.009683
918,0.281519,0.179109,0.009774,0.010000
919,0.281703,0.179067,0.010351,0.010320
920,0.281887,0.179026,0.010927,0.010650
921,0.282071,0.178989,0.011616,0.010990
922,0.282256,0.178952,0.012304,0.011330
923,0.282440,0.178906,0.013018,0.011670
924,0.282624,0.178860,0.013732,0.012000
925,0.282578,0.178367,0.014371,0.012310
926,0.282532,0.177875,0.015010,0.012600
927,0.282256,0.177382,0.015572,0.012820
928,0.281979,0.176889,0.016133,0.012990
929,0.281703,0.176401,0.016715,0.013070
930,0.281427,0.175912,0.017296,0.013100
931,0.281150,0.174581,0.017983,0.012990
932,0.280874,0.173250,0.018669,0.012830
933,0.280598,0.171555,0.019481,0.012530
934,0.280321,0.169860,0.020293,0.012180
935,0.280137,0.168170,0.021234,0.011750
936,0.279953,0.166479,0.022174,0.011260
937,0.279861,0.164784,0.023247,0.010700
938,0.279768,0.163089,0.024319,0.010080
939,0.279676,0.161394,0.025528,0.009433
940,0.279584,0.159699,0.026737,0.008754
941,0.279492,0.158004,0.028069,0.008088
942,0.279400,0.156309,0.029401,0.007446
943,0.279308,0.154213,0.030776,0.006822
944,0.279216,0.152118,0.032151,0.006250
945,0.278985,0.149879,0.033474,0.005704
946,0.278755,0.147641,0.034796,0.005234
947,0.278387,0.145402,0.035970,0.004802
948,0.278018,0.143164,0.037143,0.004445
949,0.277650,0.140930,0.038072,0.004109
950,0.277281,0.138696,0.039000,0.003799
951,0.276913,0.136526,0.039618,0.003519
952,0.276544,0.134357,0.040236,0.003274
953,0.276176,0.132690,0.040604,0.003046
954,0.275807,0.131022,0.040972,0.002852
955,0.275393,0.129360,0.041181,0.002666
956,0.274978,0.127697,0.041389,0.002504
957,0.274518,0.126034,0.041530,0.002358
958,0.274057,0.124371,0.041671,0.002242
959,0.273596,0.122704,0.041836,0.002133
960,0.273136,0.121036,0.042000,0.002047
961,0.272675,0.119374,0.042256,0.001975
962,0.272215,0.117711,0.042512,0.001917
963,0.271754,0.115896,0.042837,0.001860
964,0.271293,0.114081,0.043161,0.001808
965,0.270741,0.111544,0.043508,0.001753
966,0.270188,0.109006,0.043854,0.001693
967,0.269543,0.106472,0.044176,0.001639
968,0.268898,0.103939,0.044498,0.001589
969,0.268253,0.101406,0.044749,0.001554
970,0.267609,0.098872,0.045000,0.001528
971,0.266964,0.097256,0.045133,0.001510
972,0.266319,0.095639,0.045266,0.001491
973,0.265674,0.094142,0.045230,0.001463
974,0.265029,0.092645,0.045194,0.001431
975,0.264246,0.091149,0.044943,0.001413
976,0.263463,0.089653,0.044691,0.001408
977,0.262542,0.088001,0.044275,0.001414
978,0.261621,0.086350,0.043859,0.001421
979,0.260700,0.084589,0.043430,0.001423
980,0.259778,0.082829,0.043000,0.001417
981,0.258857,0.081069,0.042679,0.001407
982,0.257936,0.079309,0.042358,0.001406
983,0.257015,0.077548,0.042138,0.001420
984,0.256094,0.075788,0.041917,0.001441
985,0.254988,0.074028,0.041757,0.001481
986,0.253883,0.072267,0.041597,0.001524
987,0.252593,0.070507,0.041458,0.001564
988,0.251303,0.068746,0.041318,0.001607
989,0.250014,0.066986,0.041159,0.001652
990,0.248724,0.065226,0.041000,0.001716
991,0.247434,0.063465,0.040781,0.001793
992,0.246145,0.061705,0.040562,0.001891
993,0.244855,0.059945,0.040243,0.001994
994,0.243565,0.058185,0.039923,0.002087
995,0.242276,0.056424,0.039463,0.002178
996,0.240986,0.054664,0.039003,0.002272
997,0.239696,0.052904,0.038363,0.002366
998,0.238407,0.051143,0.037722,0.002464
999,0.237117,0.049383,0.036861,0.002560
1000,0.235827,0.047622,0.036000,0.002654
